CID,AUTH_CODE_CDE,CUST_ID,IP_ADDR,ACT_DT
215868,CODE_1693,C_32,183.232.120.39,2017-07-10 19:01:59
216637,CODE_1693,C_32,113.92.210.0,2017-07-11 01:34:26
216819,CODE_1693,C_32,14.17.3.122,2017-07-11 08:20:04
224531,CODE_735,C_32,70.67.47.74,2017-07-14 06:20:43
224532,CODE_735,C_32,70.67.47.74,2017-07-14 06:21:04
224533,CODE_735,C_32,70.67.47.74,2017-07-14 06:21:10
224536,CODE_735,C_32,70.67.47.74,2017-07-14 06:30:41
224540,CODE_837,C_32,86.99.252.219,2017-07-14 06:41:24
224543,CODE_837,C_32,86.99.252.219,2017-07-14 06:43:30
224544,CODE_837,C_32,86.99.252.219,2017-07-14 06:45:18
224552,CODE_837,C_32,86.99.252.219,2017-07-14 06:48:35
224554,CODE_837,C_32,86.99.252.219,2017-07-14 06:50:27
224556,CODE_837,C_32,86.99.252.219,2017-07-14 06:52:31
238139,CODE_603,C_32,176.55.33.249,2017-07-18 21:15:03
238141,CODE_603,C_32,176.55.33.249,2017-07-18 21:15:30
238146,CODE_603,C_32,176.55.33.249,2017-07-18 21:16:04
238153,CODE_603,C_32,95.6.99.208,2017-07-18 21:18:14
238154,CODE_603,C_32,95.6.99.208,2017-07-18 21:18:30
238647,CODE_2317,C_32,82.45.80.156,2017-07-19 02:39:59
238649,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:00
238651,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:11
238652,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:16
238653,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:17
238654,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:18
238655,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:20
238656,CODE_2317,C_32,82.45.80.156,2017-07-19 02:42:21
240914,CODE_89,C_32,5.31.182.168,2017-07-19 19:22:25
240919,CODE_89,C_32,5.31.182.168,2017-07-19 19:23:06
240920,CODE_89,C_32,159.203.81.93,2017-07-19 19:23:06
244701,CODE_1608,C_32,94.122.153.148,2017-07-21 05:13:49
244702,CODE_1608,C_32,94.122.153.148,2017-07-21 05:13:52
244703,CODE_1608,C_32,94.122.153.148,2017-07-21 05:15:52
247409,CODE_214,C_32,37.131.100.241,2017-07-22 01:32:04
247410,CODE_214,C_32,107.170.96.6,2017-07-22 01:32:04
247413,CODE_214,C_32,37.131.100.241,2017-07-22 01:35:30
247499,CODE_2679,C_32,37.48.40.22,2017-07-22 04:58:48
247506,CODE_2679,C_32,37.48.40.22,2017-07-22 05:05:33
247508,CODE_2679,C_32,37.48.40.22,2017-07-22 05:08:05
247509,CODE_2679,C_32,37.48.40.22,2017-07-22 05:15:09
247510,CODE_2679,C_32,37.48.40.22,2017-07-22 05:16:18
251959,CODE_273,C_32,113.210.51.186,2017-07-23 18:26:15
251960,CODE_273,C_32,64.233.173.154,2017-07-23 18:26:18
251969,CODE_273,C_32,113.210.51.186,2017-07-23 18:27:54
252365,CODE_807,C_32,91.73.83.198,2017-07-23 21:05:36
252366,CODE_807,C_32,107.170.96.6,2017-07-23 21:05:36
252372,CODE_807,C_32,91.73.83.198,2017-07-23 21:08:19
252682,CODE_1939,C_32,188.54.214.184,2017-07-24 00:12:15
252683,CODE_1939,C_32,188.54.214.184,2017-07-24 00:12:20
252686,CODE_1939,C_32,188.54.214.184,2017-07-24 00:15:28
261138,CODE_2683,C_32,121.44.219.166,2017-07-26 22:17:51
261139,CODE_2683,C_32,121.44.219.166,2017-07-26 22:18:01
264141,CODE_175,C_32,2.49.6.194,2017-07-27 23:07:46
264151,CODE_175,C_32,2.49.6.194,2017-07-27 23:12:29
264152,CODE_175,C_32,2.49.6.194,2017-07-27 23:13:05
264373,CODE_2595,C_32,46.152.120.73,2017-07-28 04:16:42
